alpha,gamma,auction_type,init,exploration,asynchronous,n_bidders,median_opp_past_bid_index,winner_bid_index_state,r,boltzmann_temp_start,episodes,seed,avg_rev_last_1000,time_to_converge,avg_regret_of_seller
0.05,0.99,second,random,boltzmann,1,2,False,True,0.4,1.0,22795,0,0.5877,0.1724939679754332,0.4227286685676683
0.01,0.9,first,random,egreedy,1,2,True,False,0.1,0.5,49129,1,0.625,0.0,0.32768222434814465
0.001,0.95,first,random,egreedy,1,6,False,False,0.2,0.5,56569,2,0.9182000000000001,7.071010624193463e-05,0.08703353426788521
0.01,0.99,second,zeros,boltzmann,1,2,False,False,0.0,1.0,76200,3,0.5981000000000001,0.0,0.4429028871391076
0.05,0.9,second,zeros,egreedy,1,6,False,False,0.0,2.0,56802,4,0.9182000000000001,0.21677053624872364,0.0961075314249498
0.01,0.9,first,random,egreedy,1,6,False,False,0.5,2.0,75325,5,0.9003000000000002,1.3275804845668769e-05,0.08669764354463988
0.001,0.75,second,random,egreedy,1,6,False,False,0.5,0.5,68909,6,0.8726000000000002,0.23548447953097562,0.1581433484740745
0.01,0.25,first,random,boltzmann,1,6,False,False,0.1,0.1,42314,7,0.9221000000000001,0.010918372169967386,0.0904972349576972
0.01,0.5,second,random,boltzmann,0,4,True,True,0.0,2.0,39566,8,0.9368000000000001,0.8975635646767427,0.31370873982712427
0.001,0.99,first,random,egreedy,0,4,True,True,0.4,2.0,85342,9,0.9000000000000002,0.0,0.13845351643973655
