alpha,gamma,auction_type,init,exploration,asynchronous,n_bidders,median_opp_past_bid_index,winner_bid_index_state,r,boltzmann_temp_start,episodes,seed,avg_rev_last_1000,time_to_converge,avg_regret_of_seller
0.005,0.9,first,zeros,egreedy,1,6,True,True,0.0,0.5,47969,0,0.9000000000000002,4.1693593779315805e-05,0.09471950634784962
0.05,0.9,second,random,boltzmann,1,4,True,False,0.0,1.0,39670,1,0.7947000000000001,0.812553566927149,0.30538694227375845
0.005,0.95,second,random,boltzmann,1,2,True,False,0.4,0.5,66595,2,0.8624,0.9035212853817854,0.3633906449433141
0.005,0.99,first,random,boltzmann,0,4,True,False,0.1,1.0,63305,3,0.9081000000000001,6.318616223047153e-05,0.15835558012795195
0.1,0.0,second,zeros,boltzmann,0,4,False,True,0.0,2.0,90160,4,0.8982,0.8949977817213842,0.31690661047027496
0.05,0.5,second,zeros,boltzmann,0,2,True,False,0.2,0.1,66893,5,0.8627,0.8120879613711449,0.27480752844094297
0.001,0.5,second,random,boltzmann,0,6,True,True,0.0,2.0,71925,6,0.9501000000000001,0.8865623913799097,0.2197553006604101
0.1,0.99,second,zeros,egreedy,0,2,False,True,0.4,1.0,59347,7,0.5880000000000001,1.685005139265675e-05,0.3395184255311978
0.001,0.75,second,zeros,boltzmann,0,6,True,True,0.2,1.0,79479,8,0.9605,0.8698775777249337,0.20434454384176948
0.1,0.75,second,zeros,boltzmann,0,2,False,True,0.5,0.5,33022,9,0.8421000000000002,0.8841681303373509,0.37347828720247106
