alpha,gamma,auction_type,init,exploration,asynchronous,n_bidders,median_opp_past_bid_index,winner_bid_index_state,r,boltzmann_temp_start,episodes,seed,avg_rev_last_1000,time_to_converge,avg_regret_of_seller
0.1,0.95,first,zeros,boltzmann,0,4,False,True,0.3,2.0,15934,0,0.9082000000000002,0.9081209991213757,0.1636500564829923
0.005,0.5,second,random,boltzmann,0,2,True,True,0.5,2.0,81611,1,0.8990000000000001,0.8982367572998738,0.4476210314785997
0.005,0.95,second,zeros,egreedy,0,6,False,True,0.1,0.1,79227,2,1.0,0.32023173917982506,0.051657894404685274
0.005,0.99,first,zeros,boltzmann,0,6,True,True,0.2,1.0,40556,3,0.9212000000000001,0.0,0.10509172502219152
0.05,0.5,second,zeros,boltzmann,1,2,True,True,0.2,2.0,46977,4,0.7136000000000001,0.8923302892905038,0.557617557528152
0.01,0.5,second,zeros,boltzmann,0,2,False,False,0.4,1.0,21528,5,0.8671000000000001,0.9078874024526199,0.4361622073578595
0.005,0.99,second,random,boltzmann,1,6,False,True,0.3,2.0,56884,6,0.9624000000000001,0.8469516911609591,0.1924513044089726
0.01,0.75,second,random,boltzmann,0,6,True,True,0.3,2.0,23335,7,0.9546,0.898907220912792,0.2149175058924362
0.001,0.25,first,random,egreedy,1,6,False,True,0.3,0.1,96442,8,0.7654000000000001,2.0737852802720807e-05,0.1362279919537131
0.005,0.0,second,random,egreedy,1,6,False,False,0.5,0.1,54582,9,0.8726000000000002,0.12361217983950754,0.07017514931662451
